Municipality,Beach,Beach Type,Posting Reason
Agawam,Robinson Pond Beach (DCR),Freshwater,Bacterial Exceedance
Ashby,Damon Pond Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Hopkinton Reservoir - Main Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Hopkinton Reservoir - Upper Beach (DCR),Freshwater,Bacterial Exceedance
Barnstable,Long Pond Farms Association,Freshwater,Algae/Cyanobacteria Advisory
Barnstable,Lovell's Pond,Freshwater,Algae/Cyanobacteria Advisory
Beverly,Obear Park,Marine,Bacterial Exceedance
Beverly,Rice's Beach,Marine,Bacterial Exceedance
Boston,Constitution Beach (DCR),Marine,Bacterial Exceedance
Boston,Malibu Beach (DCR),Marine,Bacterial Exceedance
Boston,Savin Hill Beach (DCR),Marine,Bacterial Exceedance
Boston,Tenean Beach (DCR),Marine,Bacterial Exceedance
Braintree,Smith Beach,Marine,Bacterial Exceedance
Brookfield,South Pond,Freshwater,Bacterial Exceedance
Charlemont,Cold River Pool (DCR),Freshwater,Bacterial Exceedance
Clarksburg,Mauserts Pond (DCR),Freshwater,Bacterial Exceedance
Danvers,Sandy Beach - West,Marine,Bacterial Exceedance
Dartmouth,Moses Smith Creek,Marine,Bacterial Exceedance
Eastham,Silver Springs Association,Marine,Bacterial Exceedance
Framingham,Waushakum Beach,Freshwater,Bacterial Exceedance
Gardner,Dunn Pond (DCR),Freshwater,Bacterial Exceedance
Gloucester,Pavilion Beach,Marine,Bacterial Exceedance
Gosnold,Penikese Island School,Marine,Bacterial Exceedance
Greenfield,Greenfield Municipal Bathing Beach,Freshwater,Precautionary - Rainfall/Severe Weather
Littleton,Littleton Town Beach,Freshwater,Bacterial Exceedance
Lynn,Kings Beach (DCR),Marine,Bacterial Exceedance
Lynn,Lynn Beach (DCR),Marine,Bacterial Exceedance
Manchester,Tuck's Pond,Marine,Bacterial Exceedance
Mashpee,Santuit Pond - Bryants Neck,Freshwater,Algae/Cyanobacteria Advisory
Mashpee,Santuit Pond Estate Assoc.,Freshwater,Algae/Cyanobacteria Advisory
Mashpee,Santuit Pond - Town Landing,Freshwater,Algae/Cyanobacteria Advisory
Milton,Houghton's Pond @ Bathhouse (DCR),Freshwater,Bacterial Exceedance
Nantucket,Miacomet Pond,Freshwater,Algae/Cyanobacteria Advisory
Newburyport,Plum Island - 55th Street,Marine,Bacterial Exceedance
Newburyport,Plum Island - end of Island 1,Marine,Bacterial Exceedance
Newburyport,Plum Island - end of Island 2,Marine,Bacterial Exceedance
Newburyport,Plum Island Point,Marine,Bacterial Exceedance
New Marlborough,York Lake Beach (DCR),Freshwater,Bacterial Exceedance
Oxford,Barton Center,Freshwater,Bacterial Exceedance
Quincy,Wollaston @ Channing St. (DCR),Marine,Bacterial Exceedance
Quincy,Wollaston @ Milton St. (DCR),Marine,Bacterial Exceedance
Rutland,Whitehall Pond Beach (DCR),Freshwater,Bacterial Exceedance
Salem,Camp Naumkeag,Marine,Bacterial Exceedance
Salem,Ocean Avenue,Marine,Bacterial Exceedance
Saugus,Peckham Pond @ Camp Nihan (DCR),Freshwater,Bacterial Exceedance
Shutesbury,Lake Wyola (DCR),Freshwater,Bacterial Exceedance
Swampscott,Kings Beach,Marine,Bacterial Exceedance
Swansea,Cedar Cove Club,Marine,Bacterial Exceedance
Swansea,Sandy Beach,Marine,Bacterial Exceedance
Swansea,Swansea Town Beach,Marine,Bacterial Exceedance
Templeton,Beaman's Pond - Campground (DCR),Freshwater,Bacterial Exceedance
Templeton,Beaman's Pond - Day Use Beach (DCR),Freshwater,Bacterial Exceedance
Townsend,Pearl Hill Pond (DCR),Freshwater,Bacterial Exceedance
Uxbridge,Fairwoods,Freshwater,Bacterial Exceedance
Wareham,Briarwood,Marine,Bacterial Exceedance
Wareham,Swift's Neck,Marine,Bacterial Exceedance
Westminster,Crow Hill Pond Beach (DCR),Freshwater,Bacterial Exceedance
Winchester,Shannon Beach @ Upper Mystic (DCR),Freshwater,Bacterial Exceedance
Winthrop,Donovans,Marine,Bacterial Exceedance
Worcester,Lake Quinsigamond - Regatta Point (DCR),Freshwater,Bacterial Exceedance
